year,mes,dia,pcp_mm,evap_mm,TMAX_C,TMIN_C
1925,4,19,0,NULO,34.8,18.9
1925,4,20,0,NULO,35.8,19.9
1925,4,21,0,NULO,36.8,20.9
1925,4,22,0,NULO,35.8,23.9
1925,4,23,0,NULO,NULO,NULO
1925,4,24,0,NULO,NULO,NULO
1925,4,25,0,NULO,NULO,NULO
1925,4,26,0,NULO,34.8,23.9
1925,4,27,0,NULO,33.8,21.9
1925,4,28,0,NULO,NULO,NULO
1925,4,29,0,NULO,36.8,20.9
1925,4,30,0,NULO,29.8,20.9
1925,5,1,0,NULO,21.8,15.9
1925,5,2,10.5,NULO,29.8,18.9
1925,5,3,0,NULO,28.8,16.9
1925,5,4,0,NULO,28.8,17.9
1925,5,5,0,NULO,35.8,20.9
1925,5,6,0,NULO,34.8,19.9
1925,5,7,0,NULO,33.8,18.9
1925,5,8,0,NULO,34.8,19.9
1925,5,9,0,NULO,33.8,18.9
1925,5,10,1.5,NULO,34.8,19.9
1925,5,11,0,NULO,29.8,18.9
1925,5,12,0,NULO,33.8,19.9
1925,5,13,3.2,NULO,32.8,18.9
1925,5,14,0,NULO,30.8,18.9
1925,5,15,0,NULO,34.8,19.9
1925,5,16,0,NULO,35.8,19.9
1925,5,17,0,NULO,32.8,17.9
1925,5,18,0.1,NULO,30.8,17.9
1925,5,19,0,NULO,33.8,18.9
1925,5,20,0,NULO,34.8,19.9
1925,5,21,0,NULO,35.8,20.9
1925,5,22,0,NULO,35.8,20.9
1925,5,23,0,NULO,35.8,21.9
1925,5,24,0,NULO,34.8,20.9
1925,5,25,0,NULO,34.8,19.9
1925,5,26,0,NULO,37.8,21.9
1925,5,27,0,NULO,36.8,25.9
1925,5,28,0,NULO,36.8,25.9
1925,5,29,0,NULO,35.8,26.9
1925,5,30,0,NULO,34.8,26.9
1925,5,31,0,NULO,34.8,24.9
1925,6,1,0,NULO,37.8,25.9
1925,6,2,0,NULO,36.8,24.9
1925,6,3,0,NULO,36.8,24.9
1925,6,4,4.7,NULO,36.8,25.9
1925,6,5,4.2,NULO,34.8,23.9
1925,6,6,14.2,NULO,32.8,22.9
1925,6,7,18,NULO,30.8,21.9
1925,6,8,98.7,NULO,29.8,20.9
1925,6,9,203.5,NULO,30.8,21.9
1925,6,10,0,NULO,28.8,18.9
1925,6,11,0,NULO,30.8,20.9
1925,6,12,0,NULO,32.8,23.9
1925,6,13,0,NULO,30.8,22.9
1925,6,14,0,NULO,32.8,21.9
1925,6,15,0,NULO,30.8,20.9
1925,6,16,0,NULO,31.8,24.9
1925,6,17,43.5,NULO,29.8,19.9
1925,6,18,0,NULO,31.8,21.9
1925,6,19,16,NULO,32.8,22.9
1925,6,20,0,NULO,32.8,24.9
1925,6,21,0,NULO,31.8,22.9
1925,6,22,0,NULO,29.8,19.9
1925,6,23,10,NULO,31.8,21.9
1925,6,24,0,NULO,32.8,23.9
1925,6,25,0,NULO,32.8,24.9
